source,spectral_type_string,spectral_type_code,2MASS.H,2MASS.J,2MASS.Ks,WISE.W1,WISE.W2
2MASS J00345684-0706013,L3,73.0,14.566,15.531,13.942,13.276,12.914
2MASS J00345684-0706013,L4.3,74.3,14.566,15.531,13.942,13.276,12.914
2MASS J00361617+1821104,L3.5,73.5,11.588,12.466,11.058,10.536,10.245
2MASS J00361617+1821104,L4:,74.0,11.588,12.466,11.058,10.536,10.245
2MASS J00374306-5846229,L0 gamma,70.0,14.26,15.37,13.59,13.127,12.763
2MASS J00452143+1634446,L2 beta,72.0,12.059,13.059,11.366,10.768,10.393
2MASS J00452143+1634446,L2: VL-G,72.0,12.059,13.059,11.366,10.768,10.393
2MASS J00464841+0715177,L0.9 VL-G,70.9,13.178,13.885,12.546,12.07,11.638
2MASS J00470038+6803543,L5.5,75.5,13.968,15.604,13.053,11.768,11.242
2MASS J00470038+6803543,L7 INT-G,77.0,13.968,15.604,13.053,11.768,11.242
2MASS J00470038+6803543,L7 pec,77.0,13.968,15.604,13.053,11.768,11.242
2MASS J00501994-3322402,T7,87.0,15.838,15.928,15.241,15.54,13.55
2MASS J00511078-1544169,L3.5,73.5,14.164,15.28,13.466,12.728,12.389
2MASS J00511078-1544169,L5:,75.0,14.164,15.28,13.466,12.728,12.389
2MASS J00521232+0012172,L2: pec,72.0,15.561,16.361,15.457,14.571,14.401
2MASS J00521232+0012172,L4.5,74.5,15.561,16.361,15.457,14.571,14.401
2MASS J00531899-3631102,L3.5,73.5,13.48,14.445,12.937,12.312,12.029
2MASS J00531899-3631102,L4:,74.0,13.48,14.445,12.937,12.312,12.029
2MASS J00550564+0134365,L1.0: VL-G,71.0,15.27,16.436,14.438,13.682,13.204
2MASS J00550564+0134365,L2 gamma,72.0,15.27,16.436,14.438,13.682,13.204
2MASS J01033203+1935361,L6 beta,76.0,14.897,16.288,14.149,13.178,12.696
2MASS J01033203+1935361,L6: INT-G,76.0,14.897,16.288,14.149,13.178,12.696
2MASS J01062285-5933185,L0,70.0,13.566,14.33,13.01,12.77,12.502
2MASS J01075242+0041563,L5.5,75.5,14.512,15.824,13.709,12.686,12.174
2MASS J01075242+0041563,L7 pec,77.0,14.512,15.824,13.709,12.686,12.174
2MASS J01075242+0041563,L8,78.0,14.512,15.824,13.709,12.686,12.174
2MASS J01090918-4954532,L1,71.0,12.875,13.546,12.45,12.285,12.068
2MASS J01174748-3403258,L1 beta,71.0,14.209,15.178,13.489,13.028,12.623
2MASS J01174748-3403258,L1: INT-G,71.0,14.209,15.178,13.489,13.028,12.623
2MASS J01205114-5200349,L1.4 VL-G,71.4,14.66,15.64,13.75,13.232,12.831
2MASS J01225093-2439505,L3.7: INT-G,73.7,9.47,10.084,9.198,,
2MASS J01244599-5745379,L0 gamma,70.0,15.059,16.308,14.315,13.789,13.397
2MASS J01244599-5745379,L0.7 VL-G,70.7,15.059,16.308,14.315,13.789,13.397
2MASS J01262109+1428057,L2: VL-G,72.0,16.172,17.108,15.278,14.212,13.702
2MASS J01262109+1428057,L4 gamma,74.0,16.172,17.108,15.278,14.212,13.702
2MASS J01282664-5545343,L1,71.0,12.916,13.775,12.336,11.968,11.713
2MASS J01282664-5545343,L2,72.0,12.916,13.775,12.336,11.968,11.713
2MASS J01311838+3801554,L1.5,71.5,13.696,14.679,13.054,12.549,12.252
2MASS J01311838+3801554,L4:,74.0,13.696,14.679,13.054,12.549,12.252
2MASS J01340281+0508125,L1,71.0,15.163,16.19,14.634,14.256,14.002
2MASS J01410321+1804502,L1,71.0,13.034,13.875,12.492,12.143,11.916
2MASS J01410321+1804502,L4.5,74.5,13.034,13.875,12.492,12.143,11.916
2MASS J01414839-1601196,L7:,77.0,15.161,16.209,14.344,13.681,13.315
2MASS J01415823-4633574,L0 gamma,70.0,13.875,14.83,13.1,12.551,12.17
2MASS J01415823-4633574,L0: VL-G,70.0,13.875,14.83,13.1,12.551,12.17
2MASS J01443536-0716142,L5,75.0,13.008,14.191,12.268,11.603,11.361
2MASS J01472702+4731142,L1.5,71.5,14.847,15.843,14.282,13.949,13.729
